timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,s_accel_z,s_gyro_z,s_mag_x,s_mag_y
4.70527E+12,-1.0392914,1.8793793,8.739746,0,0,0,0,0,0,8.739746,0,0,0
4.70527E+12,-1.1896515,1.9681702,8.929367,-0.20135498,0.23478699,-0.21360779,0,0,0,8.8345565,-0.21360779,0,0
4.70528E+12,-1.2612305,1.9304352,9.41069,-0.22703552,0.17553711,-0.19003296,0,0,0,9.026601,-0.201820375,0,0
4.70528E+12,-1.322586,1.8239899,9.995331,-0.24101257,0.10745239,-0.16567993,0,0,0,9.2687835,-0.18977356,0,0
4.70529E+12,-1.4107513,1.7140198,10.620209,-0.23396301,0.03616333,-0.14207458,19.392395,6.4208984,-50.654602,9.5390686,-0.177848815,19.392395,6.4208984
4.70529E+12,-1.3833618,1.6423798,11.2276,-0.20166016,-0.04034424,-0.11618042,19.392395,6.4208984,-50.654602,10.0366394,-0.165515136,19.392395,6.4208984
4.7053E+12,-1.209137,1.6149902,11.588974,-0.13928223,-0.10798645,-0.08534241,19.392395,6.4208984,-50.654602,10.5685608,-0.13986206,19.392395,6.4208984
4.7053E+12,-1.0046692,1.655365,11.582321,-0.055404663,-0.14978027,-0.053253174,19.392395,6.4208984,-50.654602,11.002887,-0.112506103,19.392395,6.4208984
4.70531E+12,-0.8788452,1.7333832,11.311905,0.043121338,-0.16062927,-0.022201538,19.522095,6.678772,-51.913452,11.2662018,-0.083810424,19.418335,6.47247312
4.70531E+12,-0.8295288,1.8530426,10.973923,0.13877869,-0.13711548,0.002655029,19.522095,6.678772,-51.913452,11.3369446,-0.054864503,19.444275,6.52404784
4.70532E+12,-0.7411194,2.0161743,10.58963,0.21006775,-0.09069824,0.01927185,19.522095,6.678772,-51.913452,11.2093506,-0.027774049,19.470215,6.57562256
4.70532E+12,-0.6082916,2.1537933,10.2164,0.25735474,-0.027175903,0.03413391,19.522095,6.678772,-51.913452,10.9348358,-0.003878785,19.496155,6.62719728
4.70533E+12,-0.56085205,2.2372437,9.819687,0.27685547,0.049331665,0.047088623,19.638062,6.0943604,-49.97711,10.582309,0.016189575,19.5452884,6.56188968
4.70533E+12,-0.6239166,2.330246,9.493698,0.27261353,0.12696838,0.055007935,19.638062,6.0943604,-49.97711,10.2186676,0.031631469,19.5684818,6.44500736
4.70534E+12,-0.7113037,2.3342743,9.265778,0.25524902,0.19537354,0.057388306,19.638062,6.0943604,-49.97711,9.8770386,0.042578125,19.5916752,6.32812504
4.70534E+12,-0.6900177,2.3409576,8.992447,0.233078,0.24017334,0.05419922,19.638062,6.0943604,-49.97711,9.557602,0.049563599,19.6148686,6.21124272
4.70535E+12,-0.6861725,2.3958282,8.748306,0.21884155,0.25430298,0.051712036,20.518494,5.937195,-50.561523,9.2639832,0.053079224,19.8141484,6.06292732
4.70535E+12,-0.6981201,2.4538116,8.4713745,0.210495,0.23852539,0.050323486,20.518494,5.937195,-50.561523,8.9943207,0.053726197,19.9902348,6.03149424
4.70536E+12,-0.77160645,2.4292297,8.153641,0.21313477,0.19407654,0.048294067,20.518494,5.937195,-50.561523,8.7263093,0.052383423,20.1663212,6.00006116
4.70536E+12,-0.8197174,2.4904633,7.794632,0.21939087,0.127182,0.045166016,20.518494,5.937195,-50.561523,8.4320801,0.049938965,20.3424076,5.96862808
4.70537E+12,-0.88557434,2.5144196,7.5152893,0.22692871,0.04449463,0.0438385,20.895386,5.9921265,-51.24359,8.13664856,0.047866821,20.5938724,5.9481813
4.70537E+12,-0.9069519,2.5999756,7.3792114,0.22857666,-0.04727173,0.047714233,20.895386,5.9921265,-51.24359,7.86282964,0.04706726,20.6692508,5.9591676
4.70538E+12,-0.94389343,2.6549377,7.2689056,0.22013855,-0.13380432,0.054626465,20.895386,5.9921265,-51.24359,7.62233586,0.047927856,20.7446292,5.9701539
4.70538E+12,-0.8948517,2.7442322,7.328171,0.19616699,-0.21907043,0.06588745,20.895386,5.9921265,-51.24359,7.45724186,0.051446533,20.8200076,5.9811402
4.70539E+12,-0.8430481,2.7594757,7.6235046,0.15708923,-0.28308105,0.08111572,19.360352,6.7581177,-50.24414,7.42301638,0.058636474,20.5883792,6.14532474
4.70539E+12,-0.7442932,2.8121033,7.8940125,0.10812378,-0.32965088,0.094192505,19.360352,6.7581177,-50.24414,7.49876102,0.068707275,20.2813724,6.29852298
4.7054E+12,-0.67674255,2.8379364,8.168396,0.0592041,-0.3640747,0.1081543,19.360352,6.7581177,-50.24414,7.65659794,0.080795288,19.9743656,6.45172122
4.7054E+12,-0.65200806,2.8126068,8.598846,0.018585205,-0.38417053,0.11567688,18.190002,5.0872803,-50.531006,7.92258602,0.093005371,19.4332888,6.27075198
4.70541E+12,-0.63442993,2.7051697,8.907166,-0.010742188,-0.39523315,0.12173462,18.190002,5.0872803,-50.531006,8.23838502,0.104174805,18.892212,6.08978274
4.70541E+12,-0.52601624,2.6207123,9.101822,-0.03236389,-0.39227295,0.1257019,18.190002,5.0872803,-50.531006,8.5340485,0.113092041,18.658142,5.75561526
4.70542E+12,-0.37876892,2.6653748,9.140457,-0.04598999,-0.3713684,0.1335907,18.190002,5.0872803,-50.531006,8.7833374,0.12097168,18.424072,5.42144778
4.70542E+12,-0.26315308,2.739441,9.14798,-0.05583191,-0.33035278,0.14312744,17.977905,4.446411,-50.74005,8.9792542,0.127966308,18.1475826,4.95910644
4.70543E+12,-0.066711426,2.8613281,9.090851,-0.066604614,-0.27201843,0.15022278,17.977905,4.446411,-50.74005,9.0776552,0.134875488,18.1051632,4.83093258
4.70543E+12,0.05886841,2.9611511,9.061707,-0.08239746,-0.20796204,0.15299988,17.977905,4.446411,-50.74005,9.1085634,0.14112854,18.0627438,4.70275872
4.70544E+12,0.2548828,3.0224304,9.052124,-0.10151672,-0.14916992,0.14805603,17.977905,4.446411,-50.74005,9.0986238,0.145599366,18.0203244,4.57458486
4.70544E+12,0.40423584,3.0382233,9.056976,-0.12388611,-0.09512329,0.13586426,19.08722,5.555725,-51.01013,9.0819276,0.146054078,18.199768,4.6682738
4.70545E+12,0.55659485,3.0677185,9.064514,-0.13505554,-0.06352234,0.117614746,19.08722,5.555725,-51.01013,9.0652344,0.140951539,18.421631,4.8901366
4.70545E+12,0.73117065,3.1360474,9.061813,-0.13395691,-0.0541687,0.09472656,19.08722,5.555725,-51.01013,9.0594268,0.129852295,18.643494,5.1119994
4.70546E+12,0.80326843,3.120163,9.026474,-0.12121582,-0.06460571,0.06437683,19.08722,5.555725,-51.01013,9.0523802,0.112127685,18.865357,5.3338622
4.70546E+12,0.820755,3.0730286,8.886795,-0.101745605,-0.08598328,0.029678345,19.070435,4.1412354,-50.801086,9.0193144,0.088452148,19.083863,5.27282708
4.70547E+12,0.79797363,3.052353,8.723465,-0.08073425,-0.11427307,-0.006256104,19.070435,4.1412354,-50.801086,8.9526122,0.060028076,19.080506,4.98992916
4.70547E+12,0.716629,2.9994354,8.611862,-0.05973816,-0.14755249,-0.045715332,19.070435,4.1412354,-50.801086,8.8620818,0.02736206,19.077149,4.70703124
4.70548E+12,0.61650085,2.9361572,8.479919,-0.05104065,-0.17152405,-0.08305359,19.070435,4.1412354,-50.801086,8.745703,-0.00819397,19.073792,4.42413332
4.70548E+12,0.49969482,2.8843231,8.456467,-0.05342102,-0.18746948,-0.11778259,19.007874,3.7597656,-50.74005,8.6317016,-0.044625854,19.0579228,4.06494144
4.70549E+12,0.46733093,2.8624725,8.575516,-0.06843567,-0.19488525,-0.14820862,19.007874,3.7597656,-50.74005,8.5694458,-0.080203247,19.0454106,3.98864748
4.70549E+12,0.47044373,2.8260803,8.722534,-0.09213257,-0.19056702,-0.17198181,19.007874,3.7597656,-50.74005,8.5692596,-0.113348388,19.0328984,3.91235352
