timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,s_accel_x,s_accel_y,s_accel_z,s_gyro_x,s_gyro_y,s_gyro_z,s_mag_x,s_mag_y,s_mag_z
8.05392E+12,-0.8831787,1.5082397,9.011398,-0.40220642,0.077041626,-0.19204712,,,,-0.8831787,1.5082397,9.011398,-0.40220642,0.077041626,-0.19204712,0,0,0
8.05393E+12,-0.8596344,1.4969177,9.453842,0,0,0,0,0,0,-0.871405,1.5025787,9.23262,-0.20110321,0.38520813,-0.09602356,0,0,0
8.05393E+12,-0.83891296,1.5108337,9.847977,-0.39190674,-0.110809326,-0.12762451,0,0,0,-0.860575353,1.505330367,9.437739,-0.264704387,-0.0112559,-0.10655721,0,0,0
8.05394E+12,-0.7720337,1.5320892,10.237396,-0.3499756,-0.206604,-0.09901428,0,0,0,-0.83843994,1.512020075,9.63765325,-0.28602219,-0.060092925,-0.104671478,0,0,0
8.05394E+12,-0.6839752,1.5334015,10.469177,-0.28562927,-0.30274963,-0.07376099,0,0,0,-0.807546992,1.51629636,9.803958,-0.285943606,-0.108624266,-0.09848938,0,0,0
8.05395E+12,-0.5698395,1.5628967,10.542496,-0.20578003,-0.3798523,-0.051254272,17.042542,-22.981262,-46.696472,-0.744879152,1.52722776,10.1101776,-0.246658328,-0.200003051,-0.07033081,17.042542,-22.981262,-46.696472
8.05395E+12,-0.4427948,1.6008148,10.506271,-0.12515259,-0.4249115,-0.030838013,17.042542,-22.981262,-46.696472,-0.661511232,1.54800718,10.3206634,-0.271688846,-0.284985351,-0.076498413,17.042542,-22.981262,-46.696472
8.05396E+12,-0.29522705,1.6530457,10.525314,-0.05317688,-0.44158936,-0.01576233,17.042542,-22.981262,-46.696472,-0.55277405,1.57644958,10.4561308,-0.203942874,-0.351141358,-0.054125977,17.042542,-22.981262,-46.696472
8.05396E+12,-0.20280457,1.7217102,10.41246,1.53E-05,-0.43232727,-0.007354736,17.042542,-22.981262,-46.696472,-0.438928224,1.61437378,10.4911436,-0.133944702,-0.396286012,-0.035794068,17.042542,-22.981262,-46.696472
8.05397E+12,-0.18074036,1.7626495,10.265701,0.0332489,-0.39883423,-0.004882813,17.385864,-22.398376,-47.373962,-0.338281256,1.66022338,10.4504484,-0.070169068,-0.415502932,-0.022018433,17.1112064,-22.8646848,-46.83197
8.05397E+12,-0.17501831,1.758728,10.013504,0.051971436,-0.3382721,-0.007019043,17.385864,-22.398376,-47.373962,-0.259317018,1.69938964,10.34465,-0.018618775,-0.407186892,-0.013171387,17.1798708,-22.7481076,-46.967468
8.05398E+12,-0.22473145,1.7465363,9.848373,0.04899597,-0.2582245,-0.010345459,17.385864,-22.398376,-47.373962,-0.215704348,1.72853394,10.2130704,0.016210937,-0.373849492,-0.009072876,17.2485352,-22.6315304,-47.102966
8.05398E+12,-0.2800598,1.7424469,9.723907,0.02810669,-0.16807556,-0.012741089,17.385864,-22.398376,-47.373962,-0.212670898,1.74641418,10.052789,0.032467651,-0.319146732,-0.008468628,17.3171996,-22.5149532,-47.238464
8.05399E+12,-0.33137512,1.7545166,9.666809,-0.010513306,-0.07249451,-0.014938355,17.61322,-22.398376,-47.595215,-0.238385008,1.75297546,9.9036588,0.030361938,-0.24718018,-0.009985352,17.4313352,-22.398376,-47.4182126
8.05399E+12,-0.36558533,1.7702332,9.627258,-0.055603027,0.018676758,-0.016174316,17.61322,-22.398376,-47.595215,-0.275354002,1.7544922,9.7759702,0.012591553,-0.163677982,-0.012243652,17.4768064,-22.398376,-47.4624632
8.054E+12,-0.42549133,1.7578278,9.65741,-0.09609985,0.094192505,-0.014541626,17.61322,-22.398376,-47.595215,-0.325448606,1.75431216,9.7047514,-0.017022705,-0.077185061,-0.013748169,17.5222776,-22.398376,-47.5067138
8.054E+12,-0.4374237,1.8215485,9.710388,-0.1352539,0.16459656,-0.013214111,17.61322,-22.398376,-47.595215,-0.367987056,1.7693146,9.6771544,-0.053872679,0.007379151,-0.014321899,17.5677488,-22.398376,-47.5509644
8.05401E+12,-0.42860413,1.8254089,9.697159,-0.1605072,0.21446228,-0.01008606,17.738342,-21.520996,-47.473145,-0.397695922,1.785907,9.6718048,-0.091595457,0.083886719,-0.013790894,17.6382444,-22.2229,-47.570801
8.05401E+12,-0.4001007,1.7736816,9.656677,-0.17114258,0.2429657,-0.005767822,17.738342,-21.520996,-47.473145,-0.411441038,1.78974,9.6697784,-0.123721311,0.146978761,-0.011956787,17.6632688,-22.047424,-47.546387
8.05402E+12,-0.41374207,1.7349701,9.5243225,-0.16722107,0.25224304,-0.00352478,17.738342,-21.520996,-47.473145,-0.421072386,1.78268738,9.6491913,-0.14604492,0.193692017,-0.00942688,17.6882932,-21.871948,-47.521973
8.05402E+12,-0.39105225,1.7372437,9.447128,-0.16722107,0.25224304,-0.00352478,17.738342,-21.520996,-47.473145,-0.41418457,1.77857056,9.6071349,-0.160269164,0.225302124,-0.007223511,17.7133176,-21.696472,-47.497559
8.05403E+12,-0.35739136,1.77388,9.475662,-0.1326294,0.23054504,0.00378418,16.896057,-21.57898,-47.055054,-0.398178102,1.76903686,9.5601897,-0.159744264,0.23849182,-0.003823853,17.569885,-21.5325928,-47.3895268
8.05403E+12,-0.29377747,1.8266754,9.355621,-0.10903931,0.20117188,0.008514404,16.896057,-21.57898,-47.055054,-0.37121277,1.76929016,9.4918821,-0.149450686,0.23583374,-0.00010376,17.401428,-21.5441896,-47.3059086
8.05404E+12,-0.30464172,1.8654785,9.150391,-0.08392334,0.16690063,0.012863159,16.896057,-21.57898,-47.055054,-0.352120974,1.78764954,9.3906249,-0.132006838,0.220620726,0.003622436,17.232971,-21.5557864,-47.2222904
8.05404E+12,-0.28115845,1.8531647,9.071808,-0.057876587,0.12583923,0.01701355,16.583252,-21.711731,-46.925354,-0.32560425,1.81128846,9.300122,-0.110137941,0.195339964,0.007730102,17.001953,-21.5939334,-47.1127322
8.05405E+12,-0.245224,1.9297333,8.981522,-0.034225464,0.0793457,0.01878357,16.583252,-21.711731,-46.925354,-0.2964386,1.84978638,9.2070008,-0.08353882,0.160760496,0.012191773,16.770935,-21.6320804,-47.003174
8.05405E+12,-0.19859314,1.9507294,8.752197,-0.014633179,0.02961731,0.017715454,16.583252,-21.711731,-46.925354,-0.264678956,1.88515626,9.0623078,-0.059939576,0.12057495,0.014978027,16.708374,-21.6586306,-46.977234
8.05406E+12,-0.16789246,2.0205994,8.614548,-0.002105713,-0.019241333,0.016098022,16.583252,-21.711731,-46.925354,-0.239501954,1.92394106,8.9140932,-0.038552857,0.076492307,0.016494751,16.645813,-21.6851808,-46.951294
8.05406E+12,-0.17100525,2.014267,8.6094055,0.003509522,-0.07763672,0.008468628,16.583252,-21.711731,-47.192383,-0.21277466,1.95369876,8.8058961,-0.021066284,0.027584837,0.015615845,16.583252,-21.711731,-46.9787598
8.05407E+12,-0.19384766,2.0135956,8.657455,0.006698608,-0.13664246,-0.001373291,16.583252,-21.711731,-47.192383,-0.195312502,1.98578494,8.7230255,-0.008151245,-0.024911501,0.011938477,16.583252,-21.711731,-47.0321656
8.05407E+12,-0.18836975,1.9554901,8.725494,0.00428772,-0.19024658,-0.011749268,16.583252,-21.711731,-47.192383,-0.183941652,1.9909363,8.6718199,-0.000448608,-0.078829957,0.005831909,16.583252,-21.711731,-47.0855714
8.05408E+12,-0.20347595,1.8810883,8.865036,-0.002822876,-0.23808289,-0.023727417,16.583252,-21.711731,-47.192383,-0.184918214,1.97700808,8.6943877,0.001913452,-0.132369997,-0.002456665,16.583252,-21.711731,-47.1389772
8.05408E+12,-0.2722168,1.8397522,9.066559,-0.011077881,-0.27781677,-0.034057617,15.892029,-21.298218,-46.855164,-0.205783082,1.94083864,8.7847899,0.000119019,-0.184085084,-0.012487793,16.4450074,-21.6290284,-47.1249392
8.05409E+12,-0.30439758,1.8084259,9.238464,-0.018676758,-0.3115387,-0.03981018,15.892029,-21.298218,-46.855164,-0.232461548,1.89967042,8.9106016,-0.004318237,-0.23086548,-0.022143555,16.3067628,-21.5463258,-47.0574954
8.05409E+12,-0.29795837,1.7694092,9.418564,-0.02619934,-0.33700562,-0.04411316,15.892029,-21.298218,-46.855164,-0.25328369,1.85083314,9.0628234,-0.010897827,-0.270938112,-0.030691528,16.1685182,-21.4636232,-46.9900516
8.0541E+12,-0.30342102,1.7147522,9.544174,-0.03024292,-0.35131836,-0.045837402,15.892029,-21.298218,-46.855164,-0.276293944,1.80268556,9.2265594,-0.017803955,-0.303152468,-0.037509155,16.0302736,-21.3809206,-46.9226078
8.0541E+12,-0.2843933,1.6171722,9.716888,-0.034057617,-0.35295105,-0.04475403,15.725708,-21.195984,-46.757507,-0.292477414,1.74990234,9.3969298,-0.024050903,-0.3261261,-0.041714478,15.8587648,-21.2777712,-46.8356326
8.05411E+12,-0.2501068,1.5673065,9.974304,-0.03515625,-0.34243774,-0.042770386,15.725708,-21.195984,-46.757507,-0.288055414,1.6954132,9.5784788,-0.028866577,-0.339050294,-0.043457032,15.8255006,-21.2573244,-46.8161012
8.05411E+12,-0.2136383,1.5428925,10.178711,-0.034500122,-0.32395935,-0.03831482,15.725708,-21.195984,-46.757507,-0.269903558,1.64230652,9.7665282,-0.03203125,-0.341534424,-0.04315796,15.7922364,-21.2368776,-46.7965698
8.05412E+12,-0.21873474,1.5780487,10.270828,-0.02734375,-0.29830933,-0.03186035,15.725708,-21.195984,-46.757507,-0.254058832,1.60403442,9.936981,-0.032260132,-0.333795166,-0.040707398,15.7589722,-21.2164308,-46.7770384
8.05412E+12,-0.23078918,1.6338043,10.272614,-0.011077881,-0.2642975,-0.024490356,15.725708,-22.691345,-47.340393,-0.239532464,1.58784484,10.082669,-0.028427124,-0.316390994,-0.036437988,15.725708,-21.4950562,-46.8740842
8.05413E+12,-0.28147888,1.6585846,10.164749,0.008056641,-0.2260437,-0.01789856,15.725708,-22.691345,-47.340393,-0.23894958,1.59612732,10.1722412,-0.020004272,-0.291009524,-0.031066894,15.725708,-21.7941284,-46.9906614
8.05413E+12,-0.33702087,1.7376709,9.95369,0.027145386,-0.18345642,-0.013565064,15.725708,-22.691345,-47.340393,-0.256332394,1.6302002,10.1681184,-0.007543945,-0.25921326,-0.02522583,15.725708,-22.0932006,-47.1072386
8.05414E+12,-0.35087585,1.7910919,9.7747345,0.042785645,-0.14038086,-0.010299683,15.725708,-22.691345,-47.340393,-0.283779904,1.67984008,10.0873231,0.007913208,-0.222497562,-0.019622803,15.725708,-22.3922728,-47.2238158
8.05414E+12,-0.38580322,1.8371735,9.676514,0.05142212,-0.10173035,-0.006576538,14.97345,-21.862793,-48.161316,-0.3171936,1.73166504,9.9684603,0.023666382,-0.183181766,-0.01456604,15.5752564,-22.5256346,-47.5045776
8.05415E+12,-0.43901062,1.8662262,9.70285,0.052139282,-0.06854248,-0.004577637,14.97345,-21.862793,-48.161316,-0.358837888,1.77814942,9.8545075,0.036309815,-0.144030762,-0.010583496,15.4248048,-22.3599242,-47.6687622
8.05415E+12,-0.42404175,1.8497772,9.646408,0.047424316,-0.04447937,-0.00390625,14.97345,-21.862793,-48.161316,-0.387350462,1.81638794,9.7508393,0.04418335,-0.107717896,-0.007785034,15.2743532,-22.1942138,-47.8329468
8.05416E+12,-0.37701416,1.838913,9.595093,0.04333496,-0.024810791,-0.001449585,14.97345,-21.862793,-48.161316,-0.39534912,1.83663636,9.6791199,0.047421265,-0.07598877,-0.005361939,15.1239016,-22.0285034,-47.9971314
8.05416E+12,-0.3697815,1.8063965,9.6089325,0.038650513,-0.00730896,0.004638672,14.866638,-21.711731,-48.2666,-0.39913025,1.83969728,9.6459595,0.046594238,-0.04937439,-0.002374268,14.9520876,-21.8325806,-48.1823728
8.05417E+12,-0.32806396,1.8422699,9.603165,0.032470703,0.006164551,0.010101318,14.866638,-21.711731,-48.2666,-0.387582398,1.84071656,9.6312897,0.042803955,-0.02779541,0.000961304,14.9307252,-21.8023682,-48.2034296
8.05417E+12,-0.3350067,1.8699341,9.469666,0.027618408,0.014099121,0.013565064,14.866638,-21.711731,-48.2666,-0.366781614,1.84145814,9.5846529,0.03789978,-0.01126709,0.004589844,14.9093628,-21.7721558,-48.2244864
8.05418E+12,-0.37963867,1.8527069,9.337479,0.023880005,0.020080566,0.016174316,14.866638,-21.711731,-48.2666,-0.357900998,1.84204408,9.5228671,0.033190918,0.001644897,0.008605957,14.8880004,-21.7419434,-48.2455432
8.05418E+12,-0.36976624,1.8765869,9.24408,0.019744873,0.024047852,0.020812988,16.15448,-21.711731,-47.950745,-0.356451414,1.84957886,9.4526645,0.0284729,0.011416626,0.013058472,15.1242064,-21.711731,-48.203429
8.05419E+12,-0.31437683,1.9460297,9.089706,0.011169434,0.026504517,0.023803711,16.15448,-21.711731,-47.950745,-0.34537048,1.8775055,9.3488192,0.022976685,0.018179321,0.016891479,15.3817748,-21.711731,-48.140258
8.05419E+12,-0.24905396,2.0279388,9.0346985,-3.51E-04,0.028686523,0.029418945,16.15448,-21.711731,-47.950745,-0.32956848,1.91463928,9.2351259,0.016412354,0.022683716,0.020755005,15.6393432,-21.711731,-48.077087
8.0542E+12,-0.14979553,2.1300964,8.990784,-0.016799927,0.02734375,0.035095215,16.15448,-21.711731,-47.950745,-0.292526246,1.96667174,9.1393495,0.007528687,0.025332642,0.025061035,15.8969116,-21.711731,-48.013916
8.0542E+12,-0.0786438,2.2053528,8.877228,-0.035751343,0.016036987,0.036010742,15.591431,-20.741272,-46.665955,-0.232327272,2.03720092,9.0472993,-0.004397583,0.024523926,0.02902832,16.0418702,-21.5176392,-47.693787
8.05421E+12,-0.034805298,2.2584229,8.775391,-0.054840088,-0.002624512,0.030471802,15.591431,-20.741272,-46.665955,-0.165335084,2.11356812,8.9535615,-0.019314575,0.019189453,0.030960083,15.9292604,-21.3235474,-47.436829
8.05421E+12,-0.015365601,2.2700043,8.807785,-0.07157898,-0.027191162,0.014221191,15.591431,-20.741272,-46.665955,-0.105532838,2.17836304,8.8971773,-0.035864258,0.008450317,0.029043579,15.8166506,-21.1294556,-47.179871
8.05422E+12,-0.061325073,2.180603,8.98201,-0.08404541,-0.060287476,-0.001312256,15.591431,-20.741272,-46.665955,-0.06798706,2.20889588,8.8866396,-0.05260315,-0.009344483,0.022897339,15.7040408,-20.9353638,-46.922913
8.05422E+12,-0.12445068,2.114975,9.205582,-0.0990448,-0.0970459,-0.017562866,15.553284,-20.681763,-46.591187,-0.06291809,2.2058716,8.9295992,-0.069052124,-0.034222413,0.012365723,15.5838016,-20.7293702,-46.6510014
8.05423E+12,-0.042297363,2.053955,9.437912,-0.10820007,-0.13760376,-0.03303528,15.553284,-20.681763,-46.591187,-0.055648803,2.17559204,9.041736,-0.08354187,-0.064950562,-0.001443482,15.5761722,-20.7174684,-46.6360478
8.05423E+12,-0.080322266,1.946228,9.682678,-0.10644531,-0.16921997,-0.044281006,15.553284,-20.681763,-46.591187,-0.064752197,2.11315306,9.2231934,-0.093862914,-0.098269654,-0.016394043,15.5685428,-20.7055666,-46.6210942
8.05424E+12,-0.06037903,1.9129639,9.702759,-0.097457886,-0.1920929,-0.054885864,15.553284,-20.681763,-46.591187,-0.073754882,2.04174498,9.4021882,-0.099038695,-0.131250001,-0.030215454,15.5609134,-20.6936648,-46.6061406
